Generated graph edges:
Edge 13 -> 16
Edge 13 -> 17
Edge 13 -> 18
Edge 13 -> 21
Edge 13 -> 22
Edge 13 -> 24
Edge 13 -> 27
Edge 13 -> 31
Edge 13 -> 32
Edge 13 -> 34
Edge 13 -> 35
Edge 13 -> 38
Edge 14 -> 15
Edge 14 -> 16
Edge 14 -> 17
Edge 14 -> 19
Edge 14 -> 21
Edge 14 -> 22
Edge 14 -> 23
Edge 14 -> 24
Edge 14 -> 25
Edge 14 -> 30
Edge 14 -> 31
Edge 14 -> 32
Edge 14 -> 33
Edge 14 -> 34
Edge 14 -> 35
Edge 14 -> 37
Edge 14 -> 39
Edge 15 -> 16
Edge 15 -> 17
Edge 15 -> 19
Edge 15 -> 21
Edge 15 -> 23
Edge 15 -> 24
Edge 15 -> 25
Edge 15 -> 27
Edge 15 -> 28
Edge 15 -> 29
Edge 15 -> 30
Edge 15 -> 36
Edge 15 -> 37
Edge 15 -> 38
Edge 15 -> 39
Edge 16 -> 17
Edge 16 -> 18
Edge 16 -> 19
Edge 16 -> 20
Edge 16 -> 22
Edge 16 -> 23
Edge 16 -> 24
Edge 16 -> 27
Edge 16 -> 28
Edge 16 -> 29
Edge 16 -> 31
Edge 16 -> 32
Edge 16 -> 33
Edge 16 -> 35
Edge 16 -> 38
Edge 17 -> 18
Edge 17 -> 19
Edge 17 -> 21
Edge 17 -> 23
Edge 17 -> 25
Edge 17 -> 27
Edge 17 -> 28
Edge 17 -> 29
Edge 17 -> 31
Edge 17 -> 32
Edge 17 -> 33
Edge 17 -> 36
Edge 17 -> 37
Edge 17 -> 38
Edge 17 -> 39
Edge 18 -> 19
Edge 18 -> 20
Edge 18 -> 21
Edge 18 -> 22
Edge 18 -> 23
Edge 18 -> 25
Edge 18 -> 26
Edge 18 -> 27
Edge 18 -> 28
Edge 18 -> 29
Edge 18 -> 33
Edge 18 -> 35
Edge 18 -> 36
Edge 18 -> 37
Edge 18 -> 38
Edge 18 -> 39
Edge 19 -> 20
Edge 19 -> 21
Edge 19 -> 22
Edge 19 -> 23
Edge 19 -> 26
Edge 19 -> 27
Edge 19 -> 29
Edge 19 -> 32
Edge 19 -> 34
Edge 19 -> 35
Edge 19 -> 36
Edge 19 -> 37
Edge 19 -> 38
Edge 19 -> 39
Edge 20 -> 21
Edge 20 -> 23
Edge 20 -> 24
Edge 20 -> 25
Edge 20 -> 26
Edge 20 -> 28
Edge 20 -> 29
Edge 20 -> 31
Edge 20 -> 32
Edge 20 -> 37
Edge 20 -> 39
Edge 21 -> 22
Edge 21 -> 23
Edge 21 -> 25
Edge 21 -> 27
Edge 21 -> 29
Edge 21 -> 31
Edge 21 -> 32
Edge 21 -> 33
Edge 21 -> 35
Edge 21 -> 36
Edge 21 -> 38
Edge 21 -> 39
Edge 22 -> 23
Edge 22 -> 24
Edge 22 -> 26
Edge 22 -> 28
Edge 22 -> 29
Edge 22 -> 34
Edge 22 -> 37
Edge 22 -> 38
Edge 22 -> 39
Edge 23 -> 26
Edge 23 -> 27
Edge 23 -> 30
Edge 23 -> 32
Edge 23 -> 33
Edge 23 -> 34
Edge 23 -> 37
Edge 23 -> 38
Edge 24 -> 28
Edge 24 -> 31
Edge 24 -> 33
Edge 24 -> 36
Edge 24 -> 37
Edge 24 -> 38
Edge 24 -> 39
Edge 25 -> 26
Edge 25 -> 27
Edge 25 -> 30
Edge 25 -> 33
Edge 25 -> 34
Edge 25 -> 36
Edge 25 -> 37
Edge 25 -> 38
Edge 25 -> 39
Edge 26 -> 27
Edge 26 -> 28
Edge 26 -> 29
Edge 26 -> 30
Edge 26 -> 32
Edge 26 -> 34
Edge 26 -> 35
Edge 26 -> 36
Edge 26 -> 37
Edge 26 -> 38
Edge 27 -> 29
Edge 27 -> 30
Edge 27 -> 31
Edge 27 -> 35
Edge 27 -> 36
Edge 27 -> 37
Edge 27 -> 39
Edge 28 -> 29
Edge 28 -> 31
Edge 28 -> 33
Edge 28 -> 35
Edge 28 -> 38
Edge 29 -> 30
Edge 29 -> 34
Edge 29 -> 35
Edge 29 -> 37
Edge 29 -> 39
Edge 30 -> 31
Edge 30 -> 32
Edge 30 -> 34
Edge 30 -> 36
Edge 30 -> 37
Edge 30 -> 38
Edge 31 -> 32
Edge 31 -> 33
Edge 31 -> 34
Edge 31 -> 35
Edge 31 -> 39
Edge 32 -> 33
Edge 32 -> 35
Edge 32 -> 36
Edge 32 -> 37
Edge 32 -> 38
Edge 32 -> 39
Edge 33 -> 34
Edge 33 -> 35
Edge 34 -> 36
Edge 34 -> 37
Edge 34 -> 38
Edge 34 -> 39
Edge 35 -> 36
Edge 35 -> 37
Edge 35 -> 38
Edge 36 -> 38
Edge 37 -> 38
Edge 37 -> 39
Random groups:
Group 0: 0 23 
Group 1: 10 29 
Group 2: 16 25 
Group 3: 30 31 
Group 4: 5 18 
Group 5: 20 27 
Group 6: 1 15 
Group 7: 2 22 
Group 8: 11 16 
Group 9: 0 8 
